Tarih;Saat;Enlem(N);Boylam(E);Derinlik(km);MD;ML;Mw;Yer;Çözüm Niteliği
2024.12.07;13:14:06;37.4270;27.0533;10.9;-.-;1.7;-.-;EGE DENIZI;İlksel
2024.12.07;13:12:04;40.1733;31.7295;5.0;-.-;2.2;-.-;SEKLI-BEYPAZARI (ANKARA);İlksel
2024.12.07;13:02:39;38.1080;36.5522;5.7;-.-;2.0;-.-;CAMDERE-GOKSUN (KAHRAMANMARAS);İlksel
2024.12.07;12:57:26;39.4777;28.1512;8.3;-.-;1.9;-.-;ISKELE-BIGADIC (BALIKESIR);İlksel
2024.12.07;12:52:40;34.9140;25.3157;5.0;-.-;2.9;-.-;GIRIT ADASI (AKDENIZ);İlksel
2024.12.07;12:35:41;37.9513;27.5342;6.8;-.-;1.7;-.-;DAGYENI-GERMENCIK (AYDIN);İlksel
2024.12.07;12:32:27;39.5473;25.8892;10.4;-.-;3.1;3.0;GULPINAR ACIKLARI-CANAKKALE (EGE DENIZI);İlksel
2024.12.07;11:11:47;37.5657;35.7457;5.0;-.-;1.9;-.-;BAGOZU-KOZAN (ADANA);İlksel
2024.12.07;11:07:13;38.7760;25.9185;5.9;-.-;2.4;-.-;EGE DENIZI;İlksel
2024.12.07;10:56:00;37.0638;29.5447;5.1;-.-;1.6;-.-;EVCILER-GOLHISAR (BURDUR);İlksel
2024.12.07;10:46:34;36.9518;31.0548;28.4;-.-;1.8;-.-;BURMAHANCI-SERIK (ANTALYA);İlksel
2024.12.07;10:39:56;38.2807;37.7815;7.9;-.-;2.1;-.-;CEVIRME-AKCADAG (MALATYA);İlksel
2024.12.07;10:08:08;37.0423;36.0490;9.6;-.-;1.9;-.-;LALEGOLU-TOPRAKKALE (OSMANIYE);İlksel
2024.12.07;09:58:00;40.0077;39.1842;7.7;-.-;2.1;-.-;GURLEYIK-KELKIT (GUMUSHANE);İlksel
2024.12.07;09:39:44;39.6532;39.5383;4.4;-.-;2.2;-.-;YAYLABASI-(ERZINCAN);İlksel
2024.12.07;08:05:01;38.7882;31.2338;5.0;-.-;1.6;-.-;BUYUKKARABAG-BOLVADIN (AFYONKARAHISAR);İlksel
2024.12.07;07:38:16;39.6737;39.5298;5.5;-.-;2.4;-.-;CATALOREN-(ERZINCAN);İlksel
2024.12.07;07:16:49;37.9243;34.0095;5.8;-.-;2.3;-.-;BELKAYA-EREGLI (KONYA);İlksel
2024.12.07;07:01:15;38.1512;36.8672;5.0;-.-;1.7;-.-;ESENCE-AFSIN (KAHRAMANMARAS);İlksel
2024.12.07;06:40:53;37.9998;37.4110;5.4;-.-;1.5;-.-;NURHAK (KAHRAMANMARAS);İlksel
2024.12.07;06:37:58;37.9528;37.5102;19.1;-.-;1.1;-.-;KULLAR-NURHAK (KAHRAMANMARAS);İlksel
2024.12.07;05:58:01;36.3538;22.8758;23.0;-.-;3.8;3.9;YUNANISTAN;İlksel
2024.12.07;05:52:17;38.2675;37.7730;15.0;-.-;0.9;-.-;CEVIRME-AKCADAG (MALATYA);İlksel
2024.12.07;05:44:24;36.9453;27.1033;5.0;-.-;2.0;-.-;ONIKI ADALAR (AKDENIZ);İlksel
2024.12.07;05:39:21;39.6810;26.3830;6.6;-.-;1.4;-.-;BAHCELI-EZINE (CANAKKALE);İlksel
2024.12.07;05:14:09;40.1993;31.7832;9.7;-.-;1.7;-.-;HIRKATEPE-BEYPAZARI (ANKARA);İlksel
2024.12.07;04:22:53;38.1637;38.5038;6.9;-.-;1.8;-.-;ULUKOY-(MALATYA);İlksel
2024.12.07;04:17:52;38.3168;31.7780;14.5;-.-;1.4;-.-;BOGAZKENT-ILGIN (KONYA);İlksel
2024.12.07;02:57:05;38.3718;37.6247;7.2;-.-;1.4;-.-;YUKARIULUPINAR-DARENDE (MALATYA);İlksel
2024.12.07;02:47:42;38.8257;38.8423;10.5;-.-;1.7;-.-;TASKESEN-KEBAN (ELAZIG);İlksel
2024.12.07;02:47:03;37.9785;36.3537;23.9;-.-;1.2;-.-;HUGTAS-GOKSUN (KAHRAMANMARAS);İlksel
2024.12.07;02:41:02;38.2790;31.7563;18.2;-.-;1.2;-.-;ARGITHANI-ILGIN (KONYA);İlksel
2024.12.07;02:09:46;38.0042;36.3810;5.0;-.-;1.5;-.-;HUGTAS-GOKSUN (KAHRAMANMARAS);İlksel
2024.12.07;01:45:08;40.0703;42.9405;4.9;-.-;1.6;-.-;KULOGLU-KAGIZMAN (KARS);İlksel
2024.12.07;01:32:00;36.2247;36.1692;23.6;-.-;1.8;-.-;KUCUKDALYAN-(HATAY);İlksel
2024.12.07;00:37:24;36.9855;26.9113;7.1;-.-;2.0;-.-;ONIKI ADALAR (AKDENIZ);İlksel
2024.12.07;00:30:33;37.0907;28.3902;4.2;-.-;1.6;-.-;KIZILAGAC-ULA (MUGLA);İlksel
2024.12.06;23:54:56;38.2900;37.7515;7.2;-.-;1.3;-.-;CEVIRME-AKCADAG (MALATYA);İlksel
2024.12.06;22:56:37;35.5245;32.5088;49.9;-.-;2.4;-.-;AKDENIZ;İlksel
2024.12.06;22:09:20;40.6652;27.4722;4.5;-.-;2.1;-.-;GUZELKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI);İlksel
2024.12.06;21:43:15;36.7663;34.3595;9.9;-.-;2.1;-.-;KARAYAKUP-ERDEMLI (MERSIN);İlksel
2024.12.06;21:31:23;38.4693;39.2440;7.2;-.-;2.0;-.-;ALINCIK-SIVRICE (ELAZIG);İlksel
2024.12.06;21:19:42;39.6813;39.5238;5.0;-.-;3.2;3.3;GULLUCE-(ERZINCAN);İlksel
2024.12.06;20:56:24;38.6753;38.2773;4.3;-.-;1.4;-.-;BOZBURUN-ARGUVAN (MALATYA);İlksel
2024.12.06;19:52:46;38.6333;42.9758;5.0;-.-;2.6;-.-;VAN GOLU;İlksel
2024.12.06;19:45:48;38.1992;38.6267;2.5;-.-;2.0;-.-;SOGUTLU-PUTURGE (MALATYA);İlksel
2024.12.06;19:41:13;40.1865;23.3867;20.0;-.-;2.5;-.-;YUNANISTAN;İlksel
2024.12.06;17:50:37;40.2865;27.0023;13.7;-.-;3.0;-.-;GURGENDERE-BIGA (CANAKKALE);İlksel
2024.12.06;17:25:06;37.7692;29.3660;5.5;-.-;2.4;-.-;AYDINLAR-HONAZ (DENIZLI);İlksel
2024.12.06;16:37:37;35.7960;31.2830;5.0;-.-;2.6;-.-;AKDENIZ;İlksel
2024.12.06;16:28:57;36.9125;26.8173;6.0;-.-;2.4;-.-;ONIKI ADALAR (AKDENIZ);İlksel
2024.12.06;16:16:24;35.5293;26.7468;13.5;-.-;3.2;-.-;AKDENIZ;İlksel
2024.12.06;15:40:22;37.4917;42.4950;5.0;-.-;1.8;-.-;YOGURTCULAR-(SIRNAK);İlksel
2024.12.06;14:26:03;38.1823;38.5400;8.4;-.-;2.0;-.-;ULUKOY-(MALATYA);İlksel
2024.12.06;14:24:08;37.9088;28.7738;14.9;-.-;1.9;-.-;TEKKEKOY-SARAYKOY (DENIZLI);İlksel
2024.12.06;14:11:15;39.4543;34.0700;10.0;-.-;1.1;-.-;ALISAR-AKPINAR (KIRSEHIR);İlksel
2024.12.06;14:09:04;38.6638;42.9588;8.6;-.-;2.5;-.-;VAN GOLU;İlksel
2024.12.06;14:00:27;38.6110;30.8152;2.5;-.-;1.5;-.-;GOZSUZLU-(AFYONKARAHISAR);İlksel
2024.12.06;13:38:24;38.6497;43.0235;5.0;-.-;2.6;-.-;VAN GOLU;İlksel
2024.12.06;13:37:25;35.4842;26.8153;18.3;-.-;2.9;-.-;GIRIT ADASI (AKDENIZ);İlksel
2024.12.06;13:01:29;39.3215;29.3353;0.0;-.-;1.5;-.-;BAHATLAR-EMET (KUTAHYA);İlksel
2024.12.06;12:15:18;36.3002;34.3635;20.0;-.-;1.5;-.-;AKDENIZ;İlksel
2024.12.06;12:03:25;37.4967;40.3038;6.9;-.-;1.7;-.-;ARISU-MAZIDAGI (MARDIN);İlksel
2024.12.06;12:02:48;38.2510;37.4367;8.1;-.-;1.8;-.-;IKIZPINAR-ELBISTAN (KAHRAMANMARAS);İlksel
2024.12.06;11:51:19;42.5425;34.7082;1.7;-.-;2.4;-.-;SINOP ACIKLARI (KARADENIZ);İlksel
2024.12.06;11:31:12;36.9373;26.8777;5.4;-.-;2.6;-.-;ONIKI ADALAR (AKDENIZ);İlksel
2024.12.06;11:23:54;37.1528;27.8280;8.1;-.-;2.1;-.-;KARACAHISAR-MILAS (MUGLA);İlksel
2024.12.06;10:39:19;36.8708;26.8635;8.2;-.-;2.9;-.-;ONIKI ADALAR (AKDENIZ);İlksel
2024.12.06;10:38:19;36.9338;26.9768;30.9;-.-;2.2;-.-;ONIKI ADALAR (AKDENIZ);İlksel
2024.12.06;10:15:56;39.2997;41.1427;10.6;-.-;1.8;-.-;ALABALIK-VARTO (MUS);İlksel
2024.12.06;09:58:37;36.9963;26.9000;9.7;-.-;2.2;-.-;ONIKI ADALAR (AKDENIZ);İlksel
2024.12.06;09:35:41;37.1483;28.4333;23.7;-.-;1.7;-.-;YENIKOY-(MUGLA);İlksel
2024.12.06;08:21:49;36.3827;27.1057;105.5;-.-;3.4;3.4;ONIKI ADALAR (AKDENIZ);İlksel
2024.12.06;08:13:15;38.0645;37.7602;8.0;-.-;2.1;-.-;SOGUT-DOGANSEHIR (MALATYA);İlksel
2024.12.06;07:22:52;35.8530;31.7930;23.4;-.-;3.2;2.9;AKDENIZ;İlksel
2024.12.06;06:43:17;38.0597;37.2375;8.0;-.-;1.6;-.-;EKINOZU (KAHRAMANMARAS);İlksel
2024.12.06;06:04:11;39.6898;26.3740;5.4;-.-;1.7;-.-;BOZELI-EZINE (CANAKKALE);İlksel
2024.12.06;04:51:43;39.4375;38.6387;7.9;-.-;1.5;-.-;DOGANKOY-ILIC (ERZINCAN);İlksel
2024.12.06;04:47:11;39.1803;23.7660;13.3;-.-;3.1;-.-;YUNANISTAN;İlksel
2024.12.06;04:18:40;39.6807;26.3723;14.3;-.-;1.4;-.-;BAHCELI-EZINE (CANAKKALE);İlksel
2024.12.06;02:25:23;40.2882;26.9972;7.9;-.-;2.4;-.-;GURGENDERE-BIGA (CANAKKALE);İlksel
2024.12.06;01:37:20;39.6908;26.3565;13.0;-.-;1.4;-.-;BOZELI-EZINE (CANAKKALE);İlksel
2024.12.06;01:30:22;38.1417;37.8058;5.4;-.-;1.7;-.-;FINDIKKOY-DOGANSEHIR (MALATYA);İlksel
2024.12.06;01:27:15;38.1087;37.1425;12.4;-.-;1.4;-.-;GUPLUCE-ELBISTAN (KAHRAMANMARAS);İlksel
2024.12.06;00:54:52;38.5433;40.1948;3.7;-.-;1.8;-.-;BOZCAVUS-ARICAK (ELAZIG);İlksel
2024.12.06;00:54:16;38.5553;40.2123;16.9;-.-;2.1;-.-;GORUNDU-ARICAK (ELAZIG);İlksel
2024.12.06;00:12:26;40.5993;34.8337;9.5;-.-;1.7;-.-;CANAKCI-(CORUM);İlksel
2024.12.05;23:53:04;34.6162;33.9430;26.2;-.-;4.3;-.-;AKDENIZ;İlksel
2024.12.05;23:42:45;37.0520;35.4027;22.9;-.-;0.9;-.-;BOYNUYOGUN-SARICAM (ADANA);İlksel
2024.12.05;23:17:52;38.5487;40.4028;5.0;-.-;3.4;3.4;SENLIK-LICE (DIYARBAKIR);İlksel
2024.12.05;22:37:57;37.4757;37.0413;5.4;-.-;1.9;-.-;KAPICAM-(KAHRAMANMARAS);İlksel
2024.12.05;21:55:28;40.6590;42.8385;5.0;-.-;2.9;-.-;YAYLACIK-SELIM (KARS);İlksel
2024.12.05;21:15:39;40.2915;26.9970;12.0;-.-;3.2;-.-;GURGENDERE-BIGA (CANAKKALE);İlksel
2024.12.05;20:51:47;38.6637;43.1608;6.8;-.-;2.2;-.-;MOLLAKASIM-(VAN);İlksel
2024.12.05;20:06:25;39.4982;32.9280;4.7;-.-;1.6;-.-;KOCYAYLA-BALA (ANKARA);İlksel
2024.12.05;20:03:01;40.2057;31.7990;6.2;-.-;1.7;-.-;KAPLAN-BEYPAZARI (ANKARA);İlksel
2024.12.05;18:46:02;37.6483;35.8620;9.5;-.-;1.5;-.-;CAMDERE-KOZAN (ADANA);İlksel
2024.12.05;18:42:04;39.6803;27.8568;10.4;-.-;1.9;-.-;KABAKDERE-(BALIKESIR);İlksel
2024.12.05;18:00:30;39.6908;26.3942;12.0;-.-;1.7;-.-;BAHCELI-EZINE (CANAKKALE);İlksel
2024.12.05;17:44:19;39.6625;28.4537;4.8;-.-;1.8;-.-;KARAKAYA-DURSUNBEY (BALIKESIR);İlksel
2024.12.05;14:56:31;37.0877;29.2403;14.0;-.-;1.4;-.-;KOCAOVA-CAMELI (DENIZLI);İlksel
2024.12.05;14:16:12;38.7843;25.8628;1.6;-.-;2.8;-.-;EGE DENIZI;İlksel
2024.12.05;14:13:29;38.7777;25.8555;18.5;-.-;2.1;-.-;EGE DENIZI;İlksel
2024.12.05;13:45:59;35.9405;31.2773;16.8;-.-;1.9;-.-;AKDENIZ;İlksel
2024.12.05;13:14:37;39.4697;33.4962;6.2;-.-;1.8;-.-;CELEBI (KIRIKKALE);İlksel
2024.12.05;12:57:09;37.1755;35.7093;27.3;-.-;1.3;-.-;SAGKAYA-CEYHAN (ADANA);İlksel
2024.12.05;12:52:39;39.6162;29.3777;0.0;-.-;1.6;-.-;YENIKOY-TAVSANLI (KUTAHYA);İlksel
2024.12.05;12:47:09;39.4950;29.1900;0.0;-.-;1.8;-.-;KIZILBUK-TAVSANLI (KUTAHYA);İlksel
2024.12.05;12:42:34;39.2295;29.2452;0.0;-.-;1.2;-.-;ASAGIYONCAAGAC-HISARCIK (KUTAHYA);İlksel
2024.12.05;12:41:28;39.2342;29.2557;0.0;-.-;1.4;-.-;ASAGIYONCAAGAC-HISARCIK (KUTAHYA);İlksel
2024.12.05;12:37:45;37.1483;34.1707;19.6;-.-;1.4;-.-;BERENDI-AYRANCI (KARAMAN);İlksel
2024.12.05;11:35:22;38.2363;37.3205;6.9;-.-;1.7;-.-;DEMIRCILIK-ELBISTAN (KAHRAMANMARAS);İlksel
2024.12.05;11:19:45;38.2485;38.5962;5.5;-.-;1.9;-.-;PELITLI-(MALATYA);İlksel
2024.12.05;11:05:25;36.1395;36.0770;6.3;-.-;2.2;-.-;KARACAY-SAMANDAG (HATAY);İlksel
2024.12.05;10:26:07;40.2097;31.7812;8.2;-.-;2.2;-.-;KOZAGAC-BEYPAZARI (ANKARA);İlksel
2024.12.05;09:35:59;39.1408;27.5598;0.0;-.-;1.7;-.-;AVDAN-SOMA (MANISA);İlksel
2024.12.05;09:08:03;35.8423;31.6527;30.1;-.-;3.3;3.2;AKDENIZ;REVIZE01   (2024.12.05 09:08:01)
2024.12.05;09:01:19;38.2588;38.7540;21.3;-.-;1.7;-.-;BALPINARI-PUTURGE (MALATYA);İlksel
2024.12.05;08:28:57;35.8973;31.8455;28.0;-.-;2.2;-.-;AKDENIZ;İlksel
2024.12.05;08:23:23;35.9560;31.7938;30.0;-.-;2.6;-.-;AKDENIZ;İlksel
2024.12.05;08:15:37;35.1797;33.2998;1.9;-.-;1.5;-.-;KIBRIS-LEFKOSA;İlksel
2024.12.05;07:50:17;37.1352;27.7625;10.7;-.-;1.8;-.-;SOGUTCUK-MILAS (MUGLA);İlksel
2024.12.05;07:23:57;39.2993;36.3813;5.7;-.-;1.5;-.-;GUMUSTEPE-SARKISLA (SIVAS);İlksel
2024.12.05;06:49:03;38.0647;37.6873;11.0;-.-;1.6;-.-;BEGRE-DOGANSEHIR (MALATYA);İlksel
2024.12.05;05:58:33;40.4798;26.4288;5.9;-.-;2.3;-.-;SAROS KORFEZI (EGE DENIZI);İlksel
2024.12.05;04:43:34;38.7653;25.7788;8.9;-.-;2.0;-.-;EGE DENIZI;İlksel
2024.12.05;04:07:04;38.9293;27.6855;21.8;-.-;1.4;-.-;BALLICA-AKHISAR (MANISA);İlksel
2024.12.05;03:33:12;37.8730;36.1087;1.3;-.-;2.3;-.-;YARDIBI-SAIMBEYLI (ADANA);İlksel
2024.12.05;02:49:46;40.2332;35.8148;7.6;-.-;1.1;-.-;OSMANPINARI-ZILE (TOKAT);İlksel
2024.12.05;02:36:28;36.5920;36.5040;14.0;-.-;1.6;-.-;YALANGOZ-KIRIKHAN (HATAY);İlksel
2024.12.05;01:22:54;36.2782;36.3792;5.0;-.-;1.1;-.-;VARISLI-REYHANLI (HATAY);İlksel
2024.12.05;01:19:34;35.9672;30.8230;5.0;-.-;1.9;-.-;AKDENIZ;İlksel
2024.12.04;23:45:02;39.3167;27.5302;9.3;-.-;2.2;-.-;VAKIFLI-SOMA (MANISA);İlksel
2024.12.04;22:43:05;37.4328;37.0085;2.0;-.-;1.2;-.-;SIVRICEHUYUK-(KAHRAMANMARAS);İlksel
2024.12.04;20:48:11;40.3668;24.1333;11.6;-.-;1.6;-.-;YUNANISTAN;İlksel
2024.12.04;20:33:34;36.9602;28.8717;3.1;-.-;1.7;-.-;SAZAK-KOYCEGIZ (MUGLA);İlksel
2024.12.04;20:26:23;40.2002;31.7283;5.0;-.-;2.0;-.-;SEKLI-BEYPAZARI (ANKARA);İlksel
2024.12.04;20:07:39;37.1312;27.7422;2.0;-.-;1.9;-.-;KISIRLAR-MILAS (MUGLA);İlksel
2024.12.04;19:24:59;38.5297;39.3223;12.5;-.-;1.5;-.-;ACIPAYAM-(ELAZIG);İlksel
2024.12.04;18:55:52;40.8005;33.6402;6.3;-.-;1.6;-.-;KIYISIN-ILGAZ (CANKIRI);İlksel
2024.12.04;18:38:48;36.4200;27.8665;28.0;-.-;1.9;-.-;AKDENIZ;İlksel
2024.12.04;16:48:34;38.6313;30.6572;4.3;-.-;1.7;-.-;EFE-SUHUT (AFYONKARAHISAR);İlksel
2024.12.04;16:42:07;37.1368;27.7765;5.3;-.-;2.1;-.-;SOGUTCUK-MILAS (MUGLA);İlksel
2024.12.04;16:28:46;35.7808;31.7047;9.4;-.-;2.3;-.-;AKDENIZ;İlksel
2024.12.04;16:05:40;38.9273;27.7412;11.1;-.-;1.9;-.-;HAMIDIYE-AKHISAR (MANISA);İlksel
2024.12.04;15:05:18;40.2742;25.8325;7.5;-.-;1.7;-.-;KALEKOY-GOKCEADA (CANAKKALE);İlksel
2024.12.04;14:47:48;37.0797;28.5407;12.3;-.-;2.0;-.-;KIYRA-ULA (MUGLA);İlksel
2024.12.04;14:13:50;38.3598;38.8157;20.2;-.-;1.8;-.-;AKUSAGI-KALE (MALATYA);İlksel
2024.12.04;13:42:22;35.8853;31.9230;28.2;-.-;1.9;-.-;AKDENIZ;İlksel
2024.12.04;13:27:22;36.3692;28.8880;10.1;-.-;2.0;-.-;OLUDENIZ ACIKLARI-MUGLA (AKDENIZ);İlksel
2024.12.04;13:02:23;37.8987;26.9688;5.5;-.-;2.0;-.-;KUSADASI KORFEZI (EGE DENIZI);İlksel
2024.12.04;12:24:02;36.4622;28.5732;13.3;-.-;1.7;-.-;AKDENIZ;İlksel
2024.12.04;12:12:58;37.8953;26.7762;5.7;-.-;2.2;-.-;EGE DENIZI;İlksel
2024.12.04;12:09:08;35.8528;31.6788;26.1;-.-;4.9;4.7;AKDENIZ;REVIZE02   (2024.12.04 12:09:06)
2024.12.04;11:54:20;37.6178;29.8730;3.4;-.-;1.7;-.-;HARMANLI-YESILOVA (BURDUR);İlksel
2024.12.04;10:35:47;36.9997;28.9228;9.8;-.-;2.3;-.-;SAZAK-KOYCEGIZ (MUGLA);İlksel
2024.12.04;09:40:57;38.2628;38.0080;4.9;-.-;2.1;-.-;KOMEKAVAK-AKCADAG (MALATYA);İlksel
2024.12.04;08:25:54;38.2395;38.7625;5.0;-.-;1.9;-.-;ORMANICI-PUTURGE (MALATYA);İlksel
2024.12.04;06:41:25;38.2652;38.2815;9.6;-.-;2.0;-.-;GUNDUZBEY-YESILYURT (MALATYA);İlksel
2024.12.04;06:35:48;37.7140;38.7060;18.0;-.-;1.9;-.-;YESILKAYA-KAHTA (ADIYAMAN);İlksel
2024.12.04;06:28:37;38.2250;38.6912;5.0;-.-;2.4;-.-;KOKPINAR-PUTURGE (MALATYA);İlksel
2024.12.04;06:10:04;38.6772;30.6480;2.6;-.-;1.4;-.-;KARAARSLAN-(AFYONKARAHISAR);İlksel
2024.12.04;05:50:54;40.2680;31.7965;14.7;-.-;1.6;-.-;NUHHOCA-BEYPAZARI (ANKARA);İlksel
2024.12.04;05:45:09;38.2047;38.5778;7.3;-.-;1.9;-.-;SOGUTLU-PUTURGE (MALATYA);İlksel
2024.12.04;05:42:06;38.6522;30.6363;5.4;-.-;2.1;-.-;NURIBEY-(AFYONKARAHISAR);İlksel
2024.12.04;05:38:08;37.9655;27.1147;2.9;-.-;1.8;-.-;KUSADASI KORFEZI (EGE DENIZI);İlksel
2024.12.04;05:19:53;39.6850;26.3600;16.1;-.-;1.7;-.-;BOZELI-EZINE (CANAKKALE);İlksel
2024.12.04;05:12:49;38.1163;38.4002;5.0;-.-;1.9;-.-;KARAGOL-CELIKHAN (ADIYAMAN);İlksel
2024.12.04;05:11:36;36.5915;35.7562;5.0;-.-;1.6;-.-;ISKENDERUN KORFEZI (AKDENIZ);İlksel
2024.12.04;05:03:45;37.2812;37.0172;6.2;-.-;1.7;-.-;AKDEMIR-PAZARCIK (KAHRAMANMARAS);İlksel
2024.12.04;04:58:26;39.9947;28.6467;4.5;-.-;1.4;-.-;SEHRIMAN-MUSTAFAKEMALPASA (BURSA);İlksel
2024.12.04;04:45:51;37.9985;36.3623;14.4;-.-;1.3;-.-;HUGTAS-GOKSUN (KAHRAMANMARAS);İlksel
2024.12.04;04:28:49;38.6878;43.1603;8.0;-.-;1.5;-.-;MOLLAKASIM-(VAN);İlksel
2024.12.04;04:20:39;38.1545;38.5005;5.0;-.-;2.0;-.-;AKSU-SINCIK (ADIYAMAN);İlksel
2024.12.04;04:16:51;37.5690;35.8873;6.4;-.-;1.5;-.-;DAGLICA-KOZAN (ADANA);İlksel
2024.12.04;04:13:15;38.8065;37.3940;5.0;-.-;2.0;-.-;YUVA-GURUN (SIVAS);İlksel
2024.12.04;04:07:33;38.8968;27.7218;6.7;-.-;3.3;3.2;KAPAKLI-AKHISAR (MANISA);İlksel
2024.12.04;03:56:51;36.2133;28.2895;2.0;-.-;2.0;-.-;AKDENIZ;İlksel
2024.12.04;03:12:38;38.1453;38.5278;10.0;-.-;1.9;-.-;GECITLI-SINCIK (ADIYAMAN);İlksel
2024.12.04;02:18:50;39.7507;38.8892;9.6;-.-;1.6;-.-;YAZIGEDIGI-REFAHIYE (ERZINCAN);İlksel
2024.12.04;01:41:26;36.8433;28.1795;72.4;-.-;3.5;-.-;HISARONU-MARMARIS (MUGLA);İlksel
2024.12.04;01:20:17;37.2947;35.7277;1.0;-.-;2.6;-.-;AYVALI-IMAMOGLU (ADANA);İlksel
2024.12.04;00:43:20;37.2798;36.8025;4.1;-.-;2.0;-.-;BEYOGLU-TURKOGLU (KAHRAMANMARAS);İlksel
2024.12.03;23:18:47;37.9410;26.1398;21.4;-.-;1.4;-.-;EGE DENIZI;İlksel
2024.12.03;23:11:51;40.2685;23.3320;5.0;-.-;2.5;-.-;YUNANISTAN;İlksel
2024.12.03;23:11:01;40.1753;23.2383;5.0;-.-;2.6;-.-;YUNANISTAN;İlksel
2024.12.03;22:42:40;38.7647;25.9295;12.1;-.-;2.7;-.-;EGE DENIZI;İlksel
2024.12.03;22:09:12;36.9730;31.8902;5.0;-.-;2.7;-.-;CANAKPINAR-AKSEKI (ANTALYA);İlksel
2024.12.03;21:46:52;38.5940;26.4440;9.9;-.-;2.2;-.-;YAYLAKOY-KARABURUN (IZMIR);İlksel
2024.12.03;21:46:05;36.0528;29.0297;5.0;-.-;1.4;-.-;AKDENIZ;İlksel
2024.12.03;21:41:59;38.2873;37.0505;2.0;-.-;1.5;-.-;KUSKAYASI-AFSIN (KAHRAMANMARAS);İlksel
2024.12.03;21:41:44;37.9030;27.5680;5.3;-.-;1.7;-.-;ABDURRAHMANLAR-GERMENCIK (AYDIN);İlksel
2024.12.03;21:30:38;38.1513;36.6188;5.0;-.-;1.4;-.-;YENIYAPAN-GOKSUN (KAHRAMANMARAS);İlksel
2024.12.03;21:22:37;37.8650;36.1337;5.0;-.-;1.9;-.-;DEGIRMENCIUSAGI-SAIMBEYLI (ADANA);İlksel
2024.12.03;21:07:11;38.1082;36.5380;5.2;-.-;2.5;-.-;CAMDERE-GOKSUN (KAHRAMANMARAS);İlksel
2024.12.03;20:36:44;38.4923;39.0998;18.8;-.-;1.4;-.-;MOLLAALI-SIVRICE (ELAZIG);İlksel
2024.12.03;20:32:51;40.0037;41.2835;7.4;-.-;1.8;-.-;YAKUTIYE (ERZURUM);İlksel
2024.12.03;20:22:23;40.8272;33.7020;5.0;-.-;1.6;-.-;ILISILIK-ILGAZ (CANKIRI);İlksel
2024.12.03;20:16:05;39.1243;40.1585;2.2;-.-;2.0;-.-;CITAK-KARAKOCAN (ELAZIG);İlksel
2024.12.03;20:11:46;37.9047;27.5612;8.1;-.-;1.6;-.-;ABDURRAHMANLAR-GERMENCIK (AYDIN);İlksel
2024.12.03;20:01:43;37.9005;27.5608;3.7;-.-;2.1;-.-;ABDURRAHMANLAR-GERMENCIK (AYDIN);İlksel
2024.12.03;19:52:44;37.8753;27.6212;11.6;-.-;2.2;-.-;GERMENCIK (AYDIN);İlksel
2024.12.03;19:51:27;37.8743;27.5878;5.0;-.-;3.9;3.9;GERMENCIK (AYDIN);İlksel
2024.12.03;19:46:26;37.8895;27.5923;9.8;-.-;1.6;-.-;HIDIRBEYLI-GERMENCIK (AYDIN);İlksel
2024.12.03;19:23:41;37.8822;27.5775;7.8;-.-;2.7;-.-;HIDIRBEYLI-GERMENCIK (AYDIN);İlksel
2024.12.03;19:06:19;38.5543;39.1887;14.0;-.-;1.8;-.-;BALLICA-(ELAZIG);İlksel
